,Order,Family,Species,CVal_Mean,ChromNumber_Mean,CVal_Median,ChromNumber_Median
367,Cypriniformes,Cyprinidae,Opsariichthys uncirostris,1.41,NA,1.41,NA
368,Cypriniformes,Cyprinidae,Opsopoeodus emiliae,1.04,50,1.04,50
369,Cypriniformes,Cyprinidae,Parabramis pekinesis,0.98,48,0.98,48
370,Cypriniformes,Cyprinidae,Paracanthobrama guichenoti,1.28,NA,1.28,NA
371,Cypriniformes,Cyprinidae,Percocypris pingi,2.3,98,2.3,98
372,Cypriniformes,Cyprinidae,Phenacobius catostomus,1.63,50,1.63,50
373,Cypriniformes,Cyprinidae,Phenacobius mirabilis,1.62,50,1.62,50
374,Cypriniformes,Cyprinidae,Phoxinus 2 eos-neogaeus,2.32,NA,2.32,NA
375,Cypriniformes,Cyprinidae,Phoxinus eos,1.53,NA,1.53,NA
376,Cypriniformes,Cyprinidae,Phoxinus eos-neogaeus,1.75,50,1.75,50
377,Cypriniformes,Cyprinidae,Phoxinus eos-neogaeus-oreas,2.13,NA,2.13,NA
378,Cypriniformes,Cyprinidae,Phoxinus erythrogaster,1.32,50,1.32,50
379,Cypriniformes,Cyprinidae,Phoxinus neogaeus,1.6,NA,1.57,NA
380,Cypriniformes,Cyprinidae,Phoxinus oreas,1.27,NA,1.27,NA
381,Cypriniformes,Cyprinidae,Phoxinus phoxinus,1.15,50,1.15,50
382,Cypriniformes,Cyprinidae,Pimephales notatus,1.16,NA,1.16,NA
383,Cypriniformes,Cyprinidae,Pimephales promelas,1.11,50,1.11,50
384,Cypriniformes,Cyprinidae,Pimephales vigilax,1.11,50,1.11,50
385,Cypriniformes,Cyprinidae,Platypharodon extremus,1.49,90,1.49,90
386,Cypriniformes,Cyprinidae,Pseudogobio esocinus,1.59,NA,1.59,NA
387,Cypriniformes,Cyprinidae,Pseudolaubuca sinensis,1.35,48,1.35,48
388,Cypriniformes,Cyprinidae,Pseudorasbora parva,1.43,NA,1.43,NA
389,Cypriniformes,Cyprinidae,Ptychocheilus grandis,1.29,50,1.29,50
390,Cypriniformes,Cyprinidae,Ptychocheilus lucius,1.26,50,1.26,50
391,Cypriniformes,Cyprinidae,Ptychocheilus oregonensis,1.38,50,1.38,50
392,Cypriniformes,Cyprinidae,Pungtungia herzi,1.49,50,1.49,50
393,Cypriniformes,Cyprinidae,Puntius conchonius,0.93,NA,0.97,NA
394,Cypriniformes,Cyprinidae,Puntius everetti,0.94,NA,0.94,NA
395,Cypriniformes,Cyprinidae,Puntius fasciatus,0.77,50,0.77,50
396,Cypriniformes,Cyprinidae,Puntius orphoides,0.77,50,0.77,50
397,Cypriniformes,Cyprinidae,Puntius sachsii,1,48,1,48
398,Cypriniformes,Cyprinidae,Puntius semifasciolatus,0.87,50,0.87,50
399,Cypriniformes,Cyprinidae,Puntius tetrazona,0.82,NA,0.75,NA
